Collection,DOIs,Licenses,Subjects,Studies,Series,Images,File Size,Disk Space,Body Parts,Modalities,Manufacturers,Min DateReleased,Max DateReleased,UniqueDateReleased
Phantom FDA,https://doi.org/10.7937/k9/tcia.2015.orbjkmux,Creative Commons Attribution-NonCommercial 3.0 Unported License,7,76,4433,1468751,782219397360,782.22 GB,Not Specified,CT,"Philips, SIEMENS",2011-11-18 13:08:13,2017-08-01 22:31:01,"2011-11-18, 2011-11-19, 2012-05-10, 2012-05-11, 2014-07-30, 2014-07-31, 2017-07-31, 2017-08-01"
Prostate Fused-MRI-Pathology,https://doi.org/10.7937/k9/tcia.2016.tlpmr1am,Creative Commons Attribution 3.0 Unported License,28,28,324,32508,4743508634,4.74 GB,PROSTATE,MR,SIEMENS,2016-11-30 00:00:00,2016-11-30 00:00:00,2016-11-30
Prostate-3T,https://doi.org/10.7937/k9/tcia.2015.qjtv5il5,Creative Commons Attribution 3.0 Unported License,64,64,64,1258,297715610,297.72 MB,PROSTATE,MR,SIEMENS,2013-05-31 00:00:00,2013-05-31 00:00:00,2013-05-31
Prostate-Anatomical-Edge-Cases,https://doi.org/10.7937/qstf-st65,Creative Commons Attribution 4.0 International License,131,131,262,23490,17059489028,17.06 GB,"PELVIS, Not Specified","CT, RTSTRUCT","Philips, Varian Medical Systems",2023-05-18 00:00:00,2023-05-18 00:00:00,2023-05-18
Prostate-MRI-US-Biopsy,https://doi.org/10.7937/tcia.2020.a61ioc1a,Creative Commons Attribution 4.0 International License,1151,2799,4819,102397,79608734240,79.61 GB,"PELVIS, Not Specified, PROSTATE, ABDOMEN, TSPINE","MR, US","SIEMENS, Eigen, GE MEDICAL SYSTEMS, Siemens HealthCare GmbH, Philips Medical Systems, Philips Healthcare, Siemens, NA",2020-02-21 09:57:10,2023-10-20 00:00:00,"2020-02-21, 2023-10-20"
Pseudo-PHI-DICOM-Data,https://doi.org/10.7937/s17z-r072,Creative Commons Attribution 4.0 International License,42,44,52,3386,1274092726,1.27 GB,"EXTREMITY, BLADDER, BREAST, PELVIS, KIDNEY, CHEST, UTERUS, Not Specified","PT, CT, MG, MR, DX, CR","GE MEDICAL SYSTEMS, SIEMENS, VICTRE, Philips, Philips Medical Systems, FUJIFILM Corporation, TOSHIBA, LORAD",2020-11-20 09:51:24,2021-04-07 07:26:37,"2020-11-20, 2021-01-15, 2021-01-21, 2021-01-22, 2021-01-27, 2021-04-07"
QIBA CT-1C,https://doi.org/10.7937/k9/tcia.2016.yxgr4blu,Creative Commons Attribution 3.0 Unported License,1,468,1599,69258,36509592464,36.51 GB,"Not Specified, CHEST","CT, PR, SR, SEG","TOSHIBA, SIEMENS, Philips, GE MEDICAL SYSTEMS, Siemens Corporate Research",2011-11-28 00:00:00,2011-11-28 00:00:00,2011-11-28
QIBA-CT-Liver-Phantom,https://doi.org/10.7937/tcia.rmv0-9y95,Creative Commons Attribution 4.0 International License,3,5,684,102022,53854269134,53.85 GB,LIVER,CT,"SIEMENS, GE MEDICAL SYSTEMS",2021-04-27 00:00:00,2021-04-27 00:00:00,2021-04-27
QIN Breast DCE-MRI,https://doi.org/10.7937/k9/tcia.2014.a2n1ixox,Creative Commons Attribution 3.0 Unported License,20,62,1918,220505,49533968822,49.53 GB,"BREAST, Not Specified","MR, KO","SIEMENS, Not Specified",2014-07-02 00:00:00,2015-07-06 12:21:09,"2014-07-02, 2014-07-26, 2015-06-08, 2015-06-24, 2015-07-06"
QIN GBM Treatment Response,https://doi.org/10.7937/k9/tcia.2016.nqf4gpn2,TCIA Limited Access License,54,106,1942,589314,33510499600,33.51 GB,BRAIN,MR,SIEMENS,2015-08-07 15:24:11,2015-08-09 08:52:21,"2015-08-07, 2015-08-08, 2015-08-09"
QIN LUNG CT,"https://doi.org/10.7937/k9/tcia.2015.npgzyzbz, http://doi.org/10.7937/k9/tcia.2015.1buvfjr7",Creative Commons Attribution 3.0 Unported License,152,152,242,12013,6641853106,6.64 GB,"CHEST, LUNG, Not Specified","CT, SEG","SIEMENS, GE MEDICAL SYSTEMS, Philips, TOSHIBA, 3D Slicer Community",2014-12-16 15:13:45,2017-07-31 19:54:07,"2014-12-16, 2014-12-21, 2015-04-02, 2017-07-31"
QIN PET Phantom,https://doi.org/10.7937/k9/tcia.2015.zpukhckb,Creative Commons Attribution 3.0 Unported License,2,4,44,2816,246305000,246.31 MB,PHANTOM,PT,"Siemens, SIEMENS, GE MEDICAL SYSTEMS",2014-09-04 00:00:00,2014-09-04 00:00:00,2014-09-04
QIN PROSTATE,https://doi.org/10.7937/k9/tcia.2016.fads26kg,Creative Commons Attribution 3.0 Unported License,22,22,319,25981,4718793738,4.72 GB,PROSTATE,MR,GE MEDICAL SYSTEMS,2014-07-02 00:00:00,2014-07-02 00:00:00,2014-07-02
QIN-BRAIN-DSC-MRI,http://doi.org/10.7937/k9/tcia.2016.5di84js8,TCIA Limited Access License,49,52,349,116778,30756548044,30.76 GB,BRAIN,MR,"Imaging Biometrics LLC, GE MEDICAL SYSTEMS, SIEMENS",2019-08-21 14:11:17,2019-08-26 09:04:21,"2019-08-21, 2019-08-22, 2019-08-26"
QIN-BREAST,https://doi.org/10.7937/k9/tcia.2016.21juebh0,Creative Commons Attribution 3.0 Unported License,68,216,536,102451,11410861186,11.41 GB,BREAST,"CT, PT, MR","GE MEDICAL SYSTEMS, Philips Medical Systems",2012-05-24 17:15:25,2018-03-15 17:04:03,"2012-05-24, 2012-08-13, 2013-03-28, 2014-03-26, 2015-09-03, 2015-09-04, 2018-03-15"
QIN-BREAST-02,https://doi.org/10.7937/tcia.2019.4cfm06rr,Creative Commons Attribution 3.0 Unported License,13,34,235,31790,4188423964,4.19 GB,Not Specified,MR,Philips Medical Systems,2019-07-10 00:00:00,2019-07-10 00:00:00,2019-07-10
QIN-HEADNECK,https://doi.org/10.7937/k9/tcia.2015.k0f5cgli,TCIA Limited Access License,279,1032,3837,701002,201248009094,201.25 GB,"Not Specified, HEADNECK, THORAX, CHEST, ABDOMEN, UNDEFINED, NECK","PT, CT, SR, SEG, RWV","CPS, SIEMENS, GE MEDICAL SYSTEMS, Not Specified, QIICR, https://github.com/QIICR/Slicer-SUVFactorCalculator, PixelMed",2013-02-13 23:23:32,2020-07-13 10:14:45,"2013-02-13, 2013-02-14, 2013-03-14, 2013-04-25, 2014-08-23, 2015-04-17, 2015-11-15, 2019-07-24, 2019-10-30, 2020-01-10, 2020-07-13"
QIN-PROSTATE-Repeatability,https://doi.org/10.7937/k9/tcia.2018.mr1ckgnd,Creative Commons Attribution 4.0 International License,15,30,330,38500,14860216294,14.86 GB,"PROSTATE, Not Specified","SEG, MR, SR","QIICR, GE MEDICAL SYSTEMS",2020-10-31 01:27:39,2020-10-31 02:14:39,2020-10-31
QIN-SARCOMA,https://doi.org/10.7937/k9/tcia.2016.fxl9sess,Creative Commons Attribution 3.0 Unported License,15,38,2168,46614,10290917352,10.29 GB,"THIGH, SHOULDER, CHEST, CALF, ELBOW, KNEE, LOWERLIMB, BREAST",MR,SIEMENS,2014-09-04 00:00:00,2014-09-04 00:00:00,2014-09-04
RADCURE,https://doi.org/10.7937/j47w-nm11,TCIA Limited Access License,3346,3346,6683,615827,333128394744,333.13 GB,"HEADNECK, Not Specified, NECK, LARYNX","CT, RTSTRUCT","GE MEDICAL SYSTEMS, TOSHIBA, Philips, ADAC, MIRA",2023-06-14 00:00:00,2024-03-27 00:00:00,"2023-06-14, 2024-03-27"
REMBRANDT,https://doi.org/10.7937/k9/tcia.2015.588ozuzb,TCIA Limited Access License,130,174,1483,110020,10594772848,10.59 GB,BRAIN,MR,"Not Specified, General Electric, GE MEDICAL SYSTEMS, Normalized to NAWM Cr",2014-09-12 00:00:00,2014-09-12 00:00:00,2014-09-12
RHUH-GBM,https://doi.org/10.7937/4545-c905,TCIA Limited Access License,40,120,600,37425,15964322448,15.96 GB,"BRAIN, SKULL",MR,"GE MEDICAL SYSTEMS, Philips Medical Systems, SIEMENS, Philips",2023-06-09 00:00:00,2023-06-09 00:00:00,2023-06-09
RIDER Breast MRI,https://doi.org/10.7937/k9/tcia.2015.h1sxnuxl,Creative Commons Attribution 3.0 Unported License,5,10,40,2400,401609676,401.61 MB,BREAST,MR,Not Specified,2011-11-08 00:00:00,2011-11-08 00:00:00,2011-11-08
RIDER Lung CT,"https://doi.org/10.7937/k9/tcia.2015.u1x8a5nr, http://doi.org/10.7937/k9/tcia.2015.1buvfjr7, https://doi.org/10.7937/tcia.2020.jit9grk8, https://doi.org/10.7937/tcia.2020.1c3h-vp70",Creative Commons Attribution 4.0 International License,32,260,2072,82684,45040030218,45.04 GB,"CHEST, Not Specified","CT, SEG, RTSTRUCT, SR, PR","Not Specified, 3D Slicer Community, Varian Medical Systems, QIICR, Siemens Corporate Research, CoreLab Partners, Inc., GE MEDICAL SYSTEMS, pydicom-seg",2012-10-18 00:00:00,2024-06-25 00:00:00,"2012-10-18, 2020-02-03, 2023-05-24, 2024-06-25"
RIDER Lung PET-CT,https://doi.org/10.7937/k9/tcia.2015.ofip7tvm,Creative Commons Attribution 3.0 Unported License,243,274,1328,266280,83273574728,83.27 GB,CHEST,"PT, CT","GE MEDICAL SYSTEMS, GEMS, Vital Images, Inc, Philips, Not Specified, SIEMENS",2011-11-09 13:22:31,2011-11-10 04:40:42,"2011-11-09, 2011-11-10"
RIDER NEURO MRI,https://doi.org/10.7937/k9/tcia.2015.vosn3hn1,TCIA Limited Access License,19,108,368,70220,7785003844,7.79 GB,BRAIN,MR,SIEMENS,2011-11-08 11:50:16,2011-11-08 16:06:15,2011-11-08
RIDER PHANTOM MRI,https://doi.org/10.7937/k9/tcia.2015.mi4qddhu,Creative Commons Attribution 3.0 Unported License,10,13,45,7061,3603310752,3.60 GB,PHANTOM,MR,"GE MEDICAL SYSTEMS, SIEMENS",2011-11-09 07:34:24,2011-11-09 07:39:12,2011-11-09
RIDER PHANTOM PET-CT,https://doi.org/10.7937/k9/tcia.2015.8wg2kn4w,Creative Commons Attribution 3.0 Unported License,20,20,60,2231,722874316,722.87 MB,PHANTOM,"PT, CT",GE MEDICAL SYSTEMS,2011-09-11 00:00:00,2011-09-11 00:00:00,2011-09-11
RIDER Pilot,"https://doi.org/10.7937/m87f-mz83, https://doi.org/10.7937/tcia.2020.1c3h-vp70",Creative Commons Attribution 4.0 International License,8,154,774,21111,11259208456,11.26 GB,"Not Specified, CHEST","CT, DX, CR, PR, SEG, SR","GE MEDICAL SYSTEMS, FUJI PHOTO FILM Co., ltd., Not Specified, Siemens Corporate Research, CoreLab Partners, Inc.",2023-05-24 00:00:00,2023-05-24 00:00:00,2023-05-24
RPA-Head-and-Neck-Lymph-Nodes,https://doi.org/10.7937/fe3t-za58,TCIA Limited Access License,46,46,92,8788,4788696854,4.79 GB,"BRAIN, HEADNECK, PELVIS, Not Specified","CT, RTSTRUCT","Philips, SIEMENS, RaySearch Laboratories",2024-10-23 00:00:00,2024-10-23 00:00:00,2024-10-23
ReMIND,https://doi.org/10.7937/3rag-d070,Creative Commons Attribution 4.0 International License,114,228,1346,85733,43527792406,43.53 GB,"Not Specified, BRAIN","MR, SEG, US","Unknown manufacturer, QIICR, PixelMed",2023-09-26 00:00:00,2023-09-26 00:00:00,2023-09-26
S0819,"https://doi.org/10.7937/dt39-js04, https://doi.org/10.7937/r0r8-bn93",NCTN Data Archive License,1299,6292,52689,3578443,1818181557306,1.82 TB,"Not Specified, CHEST, ABDOMEN, CHESTABDPELVIS, ABDOMENPELVIS, NECK, PELVIS, HEAD, CHESTABDOMEN, PET, WHOLEBODY, NECKCHESTABDPELV, NECKCHEST, HIP, BRAIN, TSPINE, THORAX, EXTREMITY, SHOULDER, LUNG, SPINE, HEADNECK, LOWERLIMB","PT, CT, MR, SC, NM, RTSTRUCT","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA, GE MEDICAL SYSTEMS / MIMvista, Philips, Not Specified, Philips Medical Systems, CPS, Siemens, SIEMENS NM, Barco, SIEMENS / MIMvista, GE MEDICAL SYSTEMS, NUCLEAR, MIM Software, GE MEDICAL SYSTEMS / MIM Software, OsiriX, Hitachi Medical Corporation, AMICAS Inc., Philips / MIMvista, Philips Medical Systems / MIMvista, TOSHIBA_MEC, Anonymized Manufacturer, ECAT, McKesson Medical Imaging Group, Philips Medical Systems / MIM Software, GEMS, HMSA, Open Health Imaging Foundation",2023-03-30 00:00:00,2024-11-09 00:00:00,"2023-03-30, 2023-05-24, 2024-11-09"
SPIE-AAPM Lung CT Challenge,https://doi.org/10.7937/k9/tcia.2015.uzlsu3fl,Creative Commons Attribution 3.0 Unported License,70,70,70,22489,12065083140,12.07 GB,LUNG,CT,Philips,2014-11-21 00:00:00,2014-11-21 00:00:00,2014-11-21
Soft-tissue-Sarcoma,https://doi.org/10.7937/k9/tcia.2015.7go2gsks,Creative Commons Attribution 3.0 Unported License,51,102,612,38283,9870434084,9.87 GB,EXTREMITY,"CT, RTSTRUCT, MR, PT","GE MEDICAL SYSTEMS, MIM Software Inc., SIEMENS, SIEMENS / MIM Software, GE MEDICAL SYSTEMS / MIM Software, Philips Medical Systems / MIM Software, Philips Medical Systems, Varian Medical Systems / MIM Software, Varian Medical Systems",2015-05-27 15:53:33,2020-05-21 15:31:16,"2015-05-27, 2015-05-29, 2015-06-01, 2015-06-02, 2020-05-21"
Spine-Mets-CT-SEG,https://doi.org/10.7937/kh36-ds04,Creative Commons Attribution 4.0 International License,55,55,110,35582,20358450490,20.36 GB,"SPINE, CHEST, ABDOMEN, PELVIS","CT, SEG","SIEMENS, GE MEDICAL SYSTEMS, QIICR",2024-09-25 00:00:00,2024-09-25 00:00:00,2024-09-25
StageII-Colorectal-CT,https://doi.org/10.7937/p5k5-tg43,Creative Commons Attribution 4.0 International License,230,230,230,13850,7307281330,7.31 GB,"PELVIS, ABDOMEN",CT,"SIEMENS, Philips",2022-04-11 09:55:08,2022-04-11 09:58:18,2022-04-11
TCGA-BLCA,https://doi.org/10.7937/k9/tcia.2016.8lng8xdr,Creative Commons Attribution 3.0 Unported License,120,192,1051,111781,58033969070,58.03 GB,"BLADDER, ABDOMEN, Not Specified, CHEST","CT, CR, MR, PT, DX","SIEMENS, GE MEDICAL SYSTEMS, Philips, TOSHIBA, PNMS, FUJIFILM Corporation, Not Specified, Philips Medical Systems, FUJI PHOTO FILM Co., ltd., Siemens, Agfa, ""GE Healthcare"", Vital Images, Inc",2014-03-18 08:50:42,2020-04-22 15:05:32,"2014-03-18, 2014-03-23, 2014-12-05, 2016-01-22, 2016-05-26, 2016-07-25, 2016-08-23, 2017-01-23, 2017-10-06, 2019-08-17, 2019-08-21, 2020-04-22"
TCGA-BRCA,"https://doi.org/10.7937/k9/tcia.2016.ab2nazrp, https://doi.org/10.7937/tcia.2019.wgllssg1",Creative Commons Attribution 3.0 Unported License,139,164,2041,230331,88129900546,88.13 GB,"BREAST, Not Specified","MR, MG, SR","GE MEDICAL SYSTEMS, Confirma Inc., SIEMENS, LORAD, Philips Medical Systems, PixelMed",2011-11-30 16:18:19,2020-05-15 16:00:46,"2011-11-30, 2011-12-01, 2012-01-06, 2012-06-29, 2012-10-04, 2012-12-19, 2013-11-04, 2013-11-08, 2014-12-26, 2014-12-29, 2020-04-22, 2020-05-15"
TCGA-CESC,https://doi.org/10.7937/k9/tcia.2016.sq4m8yp4,Creative Commons Attribution 3.0 Unported License,54,57,488,19135,9500120724,9.50 GB,CERVIX,MR,"GE MEDICAL SYSTEMS, Philips Medical Systems, SIEMENS",2014-12-05 10:43:50,2014-12-05 13:54:44,2014-12-05
TCGA-COAD,https://doi.org/10.7937/k9/tcia.2016.hjjhboxz,Creative Commons Attribution 3.0 Unported License,25,32,93,8387,4500335138,4.50 GB,COLON,"CT, OT","SIEMENS, TOSHIBA, GE MEDICAL SYSTEMS, Philips, VisualPACS_OT, McKesson Medical Imaging Group",2014-04-21 15:11:42,2014-10-14 12:30:04,"2014-04-21, 2014-06-03, 2014-10-14"
TCGA-ESCA,https://doi.org/10.7937/k9/tcia.2016.vptnrgfy,Creative Commons Attribution 3.0 Unported License,16,17,126,20593,10943194300,10.94 GB,ESOPHAGUS,CT,"GE MEDICAL SYSTEMS, SIEMENS",2014-12-03 12:16:08,2020-04-22 14:30:23,"2014-12-03, 2020-04-22"
TCGA-GBM,"https://doi.org/10.7937/k9/tcia.2016.rnyfuye9, https://doi.org/10.7937/k9/tcia.2014.fab7yrpz, https://doi.org/10.7937/tcia.2018.ow6ce3ml",TCIA Limited Access License,262,575,6208,481954,75348540174,75.35 GB,BRAIN,"MR, CT, DX, SEG","GE MEDICAL SYSTEMS, GE, Philips Medical Systems, Not Specified, General Electric, Radiology Research, Philips, SIEMENS, Vital Images, Inc, FUJI PHOTO FILM Co., ltd., HITACHI MEDICAL CORPORATION, Barco, QIICR",2011-05-28 21:17:39,2023-08-07 00:00:00,"2011-05-28, 2011-05-29, 2011-12-13, 2012-01-23, 2012-01-26, 2012-07-19, 2013-02-13, 2013-11-26, 2014-03-20, 2014-04-08, 2014-05-03, 2014-07-23, 2014-10-09, 2015-08-18, 2016-12-20, 2020-04-23, 2023-08-07"
TCGA-HNSC,https://doi.org/10.7937/k9/tcia.2016.lxkq47ms,TCIA Limited Access License,227,479,2561,270376,129625755622,129.63 GB,"HEADNECK, Not Specified","CT, PT, MR, OT, RTDOSE, RTSTRUCT, RTPLAN","GE MEDICAL SYSTEMS, SIEMENS, CPS, Vital Images, Inc, Philips, TOSHIBA, Siemens, Philips Medical Systems, Barco, GE MEDICAL SYSTEMS / MIMvista, Picker International, Inc., Olea Medical, TERARECON, ADAC",2013-10-16 15:33:01,2020-04-22 13:21:05,"2013-10-16, 2014-02-17, 2014-05-15, 2014-05-16, 2014-05-18, 2014-07-09, 2014-07-14, 2014-08-27, 2014-08-28, 2014-11-21, 2014-11-22, 2016-10-20, 2017-03-29, 2018-08-14, 2018-08-29, 2020-04-22"
TCGA-KICH,https://doi.org/10.7937/k9/tcia.2016.yu3rbczn,Creative Commons Attribution 3.0 Unported License,15,15,109,9221,4559578586,4.56 GB,KIDNEY,"MR, CT","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA",2014-03-14 11:04:49,2014-03-19 15:10:34,"2014-03-14, 2014-03-19"
TCGA-KIRC,https://doi.org/10.7937/k9/tcia.2016.v6pbvtdr,Creative Commons Attribution 3.0 Unported License,267,439,2654,192581,91564106658,91.56 GB,"KIDNEY, Kidney","CT, MR, CR","Philips Medical Systems, Philips, GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA_MEC, FUJI PHOTO FILM Co., ltd., FUJIFILM Corporation, Barco, Siemens",2012-08-01 11:14:02,2014-09-18 07:50:51,"2012-08-01, 2012-12-13, 2013-05-29, 2013-05-30, 2013-06-07, 2013-06-08, 2013-10-11, 2013-10-12, 2013-11-06, 2013-11-07, 2013-11-19, 2014-03-19, 2014-07-07, 2014-07-08, 2014-09-17, 2014-09-18"
TCGA-KIRP,https://doi.org/10.7937/k9/tcia.2016.acwogbef,Creative Commons Attribution 3.0 Unported License,33,47,376,26667,10268166402,10.27 GB,"KIDNEY, Not Specified","CT, MR, PT","SIEMENS, Agfa HealthCare Informatics, GE MEDICAL SYSTEMS, Philips Medical Systems, Philips, TOSHIBA",2013-07-29 15:16:20,2017-01-23 20:44:38,"2013-07-29, 2013-07-30, 2013-11-26, 2014-09-19, 2014-09-22, 2017-01-23"
TCGA-LGG,"https://doi.org/10.7937/k9/tcia.2016.l4ltd3tk, https://doi.org/10.7937/tcia.2018.ow6ce3ml",TCIA Limited Access License,199,219,2783,241691,44886878484,44.89 GB,BRAIN,"MR, CT, SEG","GE MEDICAL SYSTEMS, Philips, Philips Medical Systems, SIEMENS, General Electric, Siemens, Philips Healthcare, Hitachi Medical Corporation, Toshiba, QIICR",2012-07-24 13:00:09,2020-04-22 16:20:54,"2012-07-24, 2013-01-04, 2013-07-09, 2014-04-21, 2014-05-16, 2014-06-27, 2014-06-30, 2014-07-15, 2014-07-16, 2014-07-17, 2014-08-28, 2020-04-22"
TCGA-LIHC,https://doi.org/10.7937/k9/tcia.2016.immqw8uq,Creative Commons Attribution 3.0 Unported License,97,237,1688,125397,56376277436,56.38 GB,LIVER,"CT, MR, PT","GE MEDICAL SYSTEMS, Not Specified, SIEMENS, Philips, Philips Healthcare, TOSHIBA, Siemens, Philips Medical Systems",2013-10-07 22:53:09,2017-01-23 19:51:32,"2013-10-07, 2014-03-13, 2014-03-14, 2014-04-24, 2014-04-25, 2016-05-26, 2016-06-09, 2017-01-23"
TCGA-LUAD,https://doi.org/10.7937/k9/tcia.2016.jgnihep5,Creative Commons Attribution 3.0 Unported License,69,152,624,48931,19615883960,19.62 GB,"CHEST, LUNG","PT, CT, NM","CPS, SIEMENS, SIEMENS NM, Siemens, GE MEDICAL SYSTEMS, CTI / MIMvista, ADAC, CTI, GE_MEDICAL_SYSTEMS",2012-12-05 07:40:19,2017-01-23 20:39:05,"2012-12-05, 2013-11-14, 2014-03-27, 2017-01-23"
TCGA-LUSC,https://doi.org/10.7937/k9/tcia.2016.tygkkfmq,Creative Commons Attribution 3.0 Unported License,37,74,279,36518,15017464500,15.02 GB,LUNG,"CT, PT, NM","SIEMENS, CPS, Siemens, GE MEDICAL SYSTEMS, SIEMENS NM, Philips, GE MEDICAL SYSTEMS / MIMvista, Vital Images, Inc.",2014-03-25 15:28:31,2017-01-23 19:41:05,"2014-03-25, 2014-06-11, 2014-09-16, 2015-04-28, 2017-01-23"
TCGA-OV,https://doi.org/10.7937/k9/tcia.2016.ndo1mdfq,Creative Commons Attribution 3.0 Unported License,143,322,844,53662,28302509590,28.30 GB,OVARY,"CT, MR, OT","SIEMENS, GE MEDICAL SYSTEMS, Siemens, Philips, TOSHIBA, Imatron, Not Specified",2013-08-28 23:24:07,2020-05-21 15:39:55,"2013-08-28, 2013-08-30, 2013-12-09, 2014-02-20, 2014-06-12, 2014-08-14, 2014-10-31, 2014-11-03, 2014-11-04, 2020-05-21"
TCGA-PRAD,https://doi.org/10.7937/k9/tcia.2016.yxoglm4y,Creative Commons Attribution 3.0 Unported License,14,20,207,16790,3739241300,3.74 GB,PROSTATE,"MR, CT, PT","GE MEDICAL SYSTEMS, SIEMENS, Vital Images, Inc, Siemens, SIEMENS NM, CPS",2013-02-22 17:06:58,2017-01-23 20:33:40,"2013-02-22, 2015-06-26, 2017-01-23"
TCGA-READ,https://doi.org/10.7937/k9/tcia.2016.f7ppnpnu,Creative Commons Attribution 3.0 Unported License,3,4,34,1796,423483788,423.48 MB,RECTUM,"MR, CT",SIEMENS,2014-04-24 15:26:05,2014-05-19 11:41:09,"2014-04-24, 2014-05-19"
TCGA-SARC,https://doi.org/10.7937/k9/tcia.2016.cx6ylsux,Creative Commons Attribution 3.0 Unported License,5,6,33,5653,2804098756,2.80 GB,"CHESTABDPELVIS, LOWERLIMB, TSPINE","CT, MR",GE MEDICAL SYSTEMS,2014-12-29 10:57:15,2014-12-29 11:15:51,2014-12-29
TCGA-STAD,https://doi.org/10.7937/k9/tcia.2016.gdhl9kim,Creative Commons Attribution 3.0 Unported License,46,46,308,43908,23316625360,23.32 GB,STOMACH,CT,"SIEMENS, GE MEDICAL SYSTEMS, Not Specified",2014-12-04 08:43:40,2020-04-22 12:27:11,"2014-12-04, 2014-12-09, 2020-04-22"
TCGA-THCA,https://doi.org/10.7937/k9/tcia.2016.9zfrvf1b,Creative Commons Attribution 3.0 Unported License,6,7,28,2780,1154685616,1.15 GB,THYROID,"CT, PT","GE MEDICAL SYSTEMS, SIEMENS, Philips",2014-04-22 09:23:32,2014-12-30 08:26:20,"2014-04-22, 2014-12-30"
TCGA-UCEC,https://doi.org/10.7937/k9/tcia.2016.gkj0zwac,Creative Commons Attribution 3.0 Unported License,65,226,912,77214,37849594376,37.85 GB,"UTERUS, Not Specified, ABDOMEN","CT, PT, MR, CR","SIEMENS, GE MEDICAL SYSTEMS, Not Specified, Philips Medical Systems, TOSHIBA, Philips, FUJIFILM Corporation, SIEMENS NM",2014-11-05 15:11:42,2018-10-15 16:18:31,"2014-11-05, 2014-11-06, 2014-12-15, 2015-05-27, 2018-10-15"
UPENN-GBM,https://doi.org/10.7937/tcia.709x-dn49,Creative Commons Attribution 4.0 International License,630,3301,3680,828234,139398709144,139.40 GB,"BRAIN, Not Specified, HEADNECK, HEAD, OTHER, UNKNOWN, CSPINE",MR,"SIEMENS, GE MEDICAL SYSTEMS, Siemens HealthCare GmbH",2022-06-21 00:00:00,2022-06-21 00:00:00,2022-06-21
VAREPOP-APOLLO,https://doi.org/10.7937/ghkn-md15,Creative Commons Attribution 4.0 International License,32,174,1131,137441,75934710298,75.93 GB,"Not Specified, CHEST, ABDOMEN, FEMORALA, LSPINE, CHESTABDPELVIS, ADRENAL, NECK, PELVIS, EXTREMITY, CHESTABDOMEN, ABDOMENPELVIS, THORAX","CT, MR, PT","GE MEDICAL SYSTEMS, TOSHIBA, SIEMENS, Philips Medical Systems, Philips",2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06
VICTRE,https://doi.org/10.7937/tcia.2019.ho23nxaw,Creative Commons Attribution 3.0 Unported License,2994,8749,8749,217913,1027194806702,1.03 TB,BREAST,MG,VICTRE,2019-03-08 00:00:00,2019-03-08 00:00:00,2019-03-08
Vestibular-Schwannoma-MC-RC,https://doi.org/10.7937/hrzh-2n82,Creative Commons Attribution 4.0 International License,124,301,354,22086,10016078492,10.02 GB,"BRAIN, Not Specified, IAC, HEADNECK, HEAD, EAR",MR,"SIEMENS, GE MEDICAL SYSTEMS, Philips Medical Systems, Philips Healthcare",2023-08-23 00:00:00,2023-08-23 00:00:00,2023-08-23
Vestibular-Schwannoma-SEG,https://doi.org/10.7937/tcia.9ytj-5q73,Creative Commons Attribution 4.0 International License,242,242,1936,48582,28194769210,28.19 GB,"Not Specified, BRAIN","MR, RTPLAN, RTSTRUCT, RTDOSE","SIEMENS, Elekta",2021-02-26 00:00:00,2021-02-26 00:00:00,2021-02-26
